topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Archaeology World Archaeology,Bachelor,Prehistory,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.08303320384935903
Archaeology World Archaeology,Bachelor,Archaeological Excavations,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.1177228733029933
Archaeology World Archaeology,Bachelor,Academic Writing,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.05321678212501252
Archaeology World Archaeology,Bachelor,Field Research,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.05702009648434806
Archaeology World Archaeology,Bachelor,Knowledge of Statistics,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.041484178399542784
Archaeology World Archaeology,Bachelor,Climate Change,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.05871354681156186
Archaeology World Archaeology,Bachelor,Spatial Analysis,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.08418076437348727
Archaeology World Archaeology,Bachelor,Data Analysis,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.04752696467111293
Archaeology World Archaeology,Bachelor,Case Studies,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.05357286861203157
Archaeology World Archaeology,Bachelor,Databases,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.050215435129406405
Archaeology World Archaeology,Bachelor,Construction,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.048100674081528266
Archaeology World Archaeology,Bachelor,Qualitative Analysis,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.08796545928664325
Archaeology World Archaeology,Bachelor,Geography,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.06350799483437336
Archaeology World Archaeology,Bachelor,Remote Sensing,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09982868203096265
Archaeology World Archaeology,Bachelor,Sustainability,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.055819142226586856
Archaeology World Archaeology,Bachelor,Biology,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.04641643383682701
Archaeology World Archaeology,Bachelor,Economy,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.03514637268747295
Archaeology World Archaeology,Bachelor,Administrative Operations,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.04868742345232133
Archaeology World Archaeology,Bachelor,Independent Studies,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.06099962900919249
Archaeology World Archaeology,Bachelor,Ceramics,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.10725544242812357
Archaeology World Archaeology,Bachelor,Professional Communication,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.1177228733029933
Archaeology World Archaeology,Bachelor,Deposit Accounts,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.12819030417786306
Archaeology World Archaeology,Bachelor,Geology,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.08664127872804682
Archaeology World Archaeology,Bachelor,Soil Science,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09776231061488844
Archaeology World Archaeology,Bachelor,Discourse Analysis,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.08796545928664325
Archaeology World Archaeology,Bachelor,Euclidean Geometry,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.06513901257732835
Archaeology World Archaeology,Bachelor,Phychological Trauma,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09584914950611821
Archaeology World Archaeology,Bachelor,Museums,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.061973928070827106
Archaeology World Archaeology,Bachelor,Data Collection,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.049902511770664904
Archaeology World Archaeology,Bachelor,Resource Management,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09240192163380172
Archaeology World Archaeology,Bachelor,Spatial Data Infrastructures,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.08088063582229192
Archaeology World Archaeology,Bachelor,Knowledge of Topography,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.12819030417786306
Archaeology World Archaeology,Bachelor,Manufacturing,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.06570641697830734
Archaeology World Archaeology,Bachelor,Knowledge of Mathematics,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.050215435129406405
Archaeology World Archaeology,Bachelor,Nutrition and Dietetics,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09240192163380172
Archaeology World Archaeology,Bachelor,Conceptual Models,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.08193449075893197
Archaeology World Archaeology,Bachelor,Geographic Information Systems,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.0908368448232729
Archaeology World Archaeology,Bachelor,Analytical Procedures,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.12819030417786306
Archaeology World Archaeology,Bachelor,Surveys,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.07795495823408753
Archaeology World Archaeology,Bachelor,Peer Review,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.06874708745601615
Archaeology World Archaeology,Bachelor,Knowledge of Finance,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.048985876036575816
Archaeology World Archaeology,Bachelor,International Sales,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.07986811934285777
Archaeology World Archaeology,Bachelor,Social Work,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09406803912520775
Archaeology World Archaeology,Bachelor,3d Models,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.07617384785317707
Archaeology World Archaeology,Bachelor,3D Scanning,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.13561706457502398
Archaeology World Archaeology,Bachelor,Technological Change,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.10725544242812357
Archaeology World Archaeology,Bachelor,Morphology,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.07889382028122316
Archaeology World Archaeology,Bachelor,Software Applications,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.12242966127210815
Archaeology World Archaeology,Bachelor,Desktop Computing,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09406803912520775
Archaeology World Archaeology,Bachelor,Land Use,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.11374334077814888
Archaeology World Archaeology,Bachelor,Deformation,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09982868203096265
Archaeology World Archaeology,Bachelor,Predictive Modelling,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09584914950611821
Archaeology World Archaeology,Bachelor,Knowledge of the Maritime Sector,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.09406803912520775
Archaeology World Archaeology,Bachelor,Fundamental Science,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.06148218251699366
Archaeology World Archaeology,Bachelor,Multidisciplinary Approach,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.052865540502605377
Archaeology World Archaeology,Bachelor,Catalogues,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.12242966127210815
Archaeology World Archaeology,Bachelor,Technical Skills,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.0908368448232729
Archaeology World Archaeology,Bachelor,Computer Programming,,19,Archaeology: World Archaeology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Archaeology World Archaeology,0.055430926474675346
