topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Astronomy,Master,Physics,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.03737314167650254
Astronomy,Master,Instrumentation,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.045932815123219055
Astronomy,Master,Simulations,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.03523815713514279
Astronomy,Master,Astronomy,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.08157523797352119
Astronomy,Master,Calculations,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.040088787222202805
Astronomy,Master,Photovoltaics,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.056045668352586876
Astronomy,Master,Business Studies,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.06402926241094704
Astronomy,Master,Science Communication,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.05677592972689702
Astronomy,Master,Data Science,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.036876195290100375
Astronomy,Master,Optics and Eyewear,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.044376275603584925
Astronomy,Master,Surveys,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.05401834062267917
Astronomy,Master,Astrophysics,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.07881764886930336
Astronomy,Master,Execution of Experiments,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.03313114589035481
Astronomy,Master,Data Processing,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.040384478574404845
Astronomy,Master,Electromagnetism,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.053390594826990045
Astronomy,Master,Data Analysis,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.03293347626018733
Astronomy,Master,Fluid Dynamics,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.05833246924653114
Astronomy,Master,Equations,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.04719608709927384
Astronomy,Master,Scheduling,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.04068513976120265
Astronomy,Master,Diagnostic Skills,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.05753727524371537
Astronomy,Master,Kinematics,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.06641799474599126
Astronomy,Master,Scientific Literature,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.03639268154522476
Astronomy,Master,Morphology,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.05466891848210904
Astronomy,Master,AngularJS,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.05833246924653114
Astronomy,Master,Justice,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.036155738749969614
Astronomy,Master,Optical Lens Design,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.07642891653425914
Astronomy,Master,Coatings,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.06917558385020911
Astronomy,Master,Image Analysis,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.04809071948771727
Astronomy,Master,Data Reduction,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.08882857065757123
Astronomy,Master,Data Visualization,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.04400741883441129
Astronomy,Master,Signal Processing,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.04763781125845487
Astronomy,Master,Data Streaming,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.07073212336984323
Astronomy,Master,Calibration,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.06641799474599126
Astronomy,Master,Optical Devices,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.08882857065757123
Astronomy,Master,Spectroscopy,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.05753727524371537
Astronomy,Master,Radiology,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.06003746538176696
Astronomy,Master,Amazon Redshift,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.08882857065757123
Astronomy,Master,Chemical Process,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.06917558385020911
Astronomy,Master,Space Exploration,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.07073212336984323
Astronomy,Master,Machine Learning,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.0371229429195349
Astronomy,Master,Knowledge of Statistics,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.028746169967911107
Astronomy,Master,Algorithms,,12,Astronomy Research (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,0.039511675254579104
