topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Pharmaceuticals,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08788543778309064
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Scientific Literature,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.04995195367354185
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Drug Discovery,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08006611982810494
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Scientific Studies,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.0471692793405282
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Pharmaceutical Development,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.0929838180327729
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Manufacturing,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06249477412582738
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Quality Management,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06195510370232995
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Biology,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.044147659874934214
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Clinical Works,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.07414462286744386
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Execution of Experiments,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.045475227281885064
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Risk Analysis,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.059907750356515195
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Safety Principles,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06478051784740539
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Pharmaceutical Production,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.12898828163194423
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Environmental Monitoring,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.10490498462703296
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Protein,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08639685985932621
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Knowledge of Immunization,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.09942591433571639
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Oncology,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08120837302841283
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Academic Writing,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.0506156161232169
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Entrepreneurship,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.05309077630118925
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Data Analysis,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.04520390942924148
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Manufacturing Processes,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.09708566667204725
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Pre-Clinical Development,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.10201293810502858
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Quality Control,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06797384441714395
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Cell Cultures,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.09116416971138618
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Biotechnology,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06249477412582738
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Knowledge of Medicine,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.05756750269284605
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Risk Factors,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.09942591433571639
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Administrative Operations,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.046307646518389034
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Databases,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.047760971003463076
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Machine Learning,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.050954297573201635
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Immunology,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.09942591433571639
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Biomedical Engineering,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06730108957120505
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Mass Spectrometry,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.09494918794405961
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Pharmaceutical Sciences,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.12192453147097528
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Artificial Intelligence,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.046307646518389034
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Computer Simulation,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.059907750356515195
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Innovation,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.04169020904921163
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Pharmacology,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.07245057080880073
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Simulations,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.048367273803889464
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Project Management,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.053465654053571704
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Biosafety,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.12192453147097528
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Laboratory Techniques,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.0732829900453047
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Manufacturing Laboratory,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.09494918794405961
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Applied Research,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08639685985932621
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Research Experiences,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.07086589093914833
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Spelling and Grammar,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06538682064783177
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Toxicology,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.07897465054627226
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Quality by Design (QbD),,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.1389440783149176
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Clinical Drug Development,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.12192453147097528
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Infertility,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08120837302841283
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Microbiology,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.09708566667204725
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Control Systems,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.07164544898014431
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Application Programming Interfaces (APIs),,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08499339126108625
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Auditing Skills,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08499339126108625
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Raw Materials,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.056690480327219746
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Good Manufacturing Practices,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.1389440783149176
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Corrective and Preventive Action,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.1389440783149176
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Management of Changes,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.10490498462703296
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Industrial Production,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.1164454611796587
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Filing Skills,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08639685985932621
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Knowledge of Cleanrooms,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.1164454611796587
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Environmental Protection,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06664627701019311
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Modelling Skills,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06538682064783177
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Knowledge of Cardiovascular Disease,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.11196873478800191
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Metabolism,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08240636749177407
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Pathology,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08499339126108625
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Lesion,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.12192453147097528
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Primary Research,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08947011765274304
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Chromatography,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.10490498462703296
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Bioanalysis,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.10201293810502858
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Data Processing,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.05543102396485842
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Instrumentation,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.06304657298416262
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Electrophoresis,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.11196873478800191
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Microsoft Software,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.12192453147097528
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Infectious Diseases,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.08120837302841283
Bio Pharmaceutical Sciences Industrial Pharmacy,Master,Multidisciplinary Approach,,53,Bio-Pharmaceutical Sciences: Industrial Pharmacy (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Industrial Pharmacy,0.050281542727262735
