topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Chemistry,Master,Biology,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.0280440520066919
Chemistry,Bachelor,Instructional Design,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.03969874509081843
Chemistry,Master,Scientific Literature,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.031731131177171135
Chemistry,Bachelor,Spectroscopy,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.050167307019311824
Chemistry,Bachelor,Biochemistry,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.048255014601115066
Chemistry,Master,Chemistry,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.04602299604174772
Chemistry,Master,Execution of Experiments,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.028887366680864633
Chemistry,Bachelor,Chemical Engineering,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.05791049228375007
Chemistry,Master,Google Analytics,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.050167307019311824
Chemistry,Master,Site Maps,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.05086064436471439
Chemistry,Master,Administrative Operations,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.029416146879543803
Chemistry,Master,Calculations,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03495380148068073
Chemistry,Bachelor,Protein,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.054882139573732655
Chemistry,Master,Continuous Training,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.054882139573732655
Chemistry,Master,Search Engines,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.04501635503734599
Chemistry,Bachelor,Knowledge of Mathematics,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.03033934660422855
Chemistry,Bachelor,Chemical Biology,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.06480198836534881
Chemistry,Master,Organic Chemistry,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.061672022774668184
Chemistry,Bachelor,Chemical Reaction Engineering,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.0603148609063243
Chemistry,Bachelor,Physical Chemistry,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.05906639301106886
Chemistry,Bachelor,Data Collection,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.03015028341644671
Chemistry,Bachelor,Nuclear Magnetic Resonance,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.0631586254026308
Chemistry,Bachelor,Quantum,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.03805538212810042
Chemistry,Bachelor,Knowledge of Medicine,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.03656877950013781
Chemistry,Bachelor,Algorithms,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.03445061197193771
Chemistry,Bachelor,Linear Algebra,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.04040784547143548
Chemistry,Master,Polymer Chemistry,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.050167307019311824
Chemistry,Master,Cell Biology,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.04655177624042688
Chemistry,Master,Electronics,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03805538212810042
Chemistry,Master,Raw Materials,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.0360116659203392
Chemistry,Master,Sales,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.048255014601115066
Chemistry,Master,Molecular Modelling,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.06663911185725359
Chemistry,Master,Molecular Biology,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.04233591687126849
Chemistry,Master,Simulations,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.030724490172769417
Chemistry,Master,Physics,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03258600385262651
Chemistry,Master,Photovoltaics,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.048866760538054214
Chemistry,Master,Imaging,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03744363619116127
Chemistry,Bachelor,Thermodynamics,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.05314729528122228
Chemistry,Bachelor,Enzymes,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.061672022774668184
Chemistry,Bachelor,Experimental Data,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.04501635503734599
Chemistry,Bachelor,Scheduling,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.0354737670297796
Chemistry,Bachelor,Machine Learning,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.03236785313548742
Chemistry,Bachelor,Nuclear Power,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.03805538212810042
Chemistry,Bachelor,Radiology,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.052347246992677
Chemistry,Bachelor,Resonance,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.0711262393162781
Chemistry,Bachelor,RNA Sequencing,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.054882139573732655
Chemistry,Bachelor,Drug Discovery,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.05086064436471439
Chemistry,Bachelor,Pharmacology,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.04602299604174772
Chemistry,Bachelor,Pharmaceutical Development,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.05906639301106886
Chemistry,Bachelor,Membranes,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.056834374451701516
Chemistry,Bachelor,Fluorescence,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.061672022774668184
Chemistry,Bachelor,Computational Science and Engineering,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.04501635503734599
Chemistry,Bachelor,Information Technology,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.028887366680864633
Chemistry,Bachelor,Design of Experiments,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.04004926595476059
Chemistry,Bachelor,Probability and Statistics,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.04551155605832556
Chemistry,Bachelor,Knowledge of Statistics,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.02506406374478145
Chemistry,Bachelor,Linear Programming,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.050167307019311824
Chemistry,Bachelor,Simplex Dental Software,,97,Bachelor Cycle - Chemistry - EPFL,Chemistry,0.061672022774668184
Chemistry,Master,Biotechnology,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03969874509081843
Chemistry,Master,Science Communication,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.0495034824963705
Chemistry,Master,Design Elements and Principles,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.04551155605832556
Chemistry,Master,Structural Biology,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.04602299604174772
Chemistry,Master,Catalysis,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.06872187069370388
Chemistry,Master,Tissue Engineering,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.0495034824963705
Chemistry,Master,Content Management,,97,Master&#39;s Programme in Chemistry,Chemistry,0.04766635900446572
Chemistry,Master,Data Stores,,97,Master&#39;s Programme in Chemistry,Chemistry,0.0495034824963705
Chemistry,Master,Retention Period,,97,Master&#39;s Programme in Chemistry,Chemistry,0.050167307019311824
Chemistry,Master,Economy,,97,Master&#39;s Programme in Chemistry,Chemistry,0.021234864939409685
Chemistry,Master,JSON,,97,Master&#39;s Programme in Chemistry,Chemistry,0.050167307019311824
Chemistry,Master,JQuery,,97,Master&#39;s Programme in Chemistry,Chemistry,0.050167307019311824
Chemistry,Master,Typing Skills,,97,Master&#39;s Programme in Chemistry,Chemistry,0.04766635900446572
Chemistry,Master,Data Protection,,97,Master&#39;s Programme in Chemistry,Chemistry,0.04407076116377886
Chemistry,Master,Architecture,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.029778896299202277
Chemistry,Master,Knowledge of Finance,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.02959646706148169
Chemistry,Master,Advanced Logic Research,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.04551155605832556
Chemistry,Master,Quality Control,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.04317923154544122
Chemistry,Master,Research and Development,,97,Master in Chemistry - Catalogue des formations,Chemistry,0.04655177624042688
Chemistry,Master,Innovation,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.02648299805829041
Chemistry,Master,Intellectual Property,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.050167307019311824
Chemistry,Master,Toxicology,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.050167307019311824
Chemistry,Master,Artificial Intelligence,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.029416146879543803
Chemistry,Master,Databases,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03033934660422855
Chemistry,Master,Chemical Process,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.0603148609063243
Chemistry,Master,Electrochemistry,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.04766635900446572
Chemistry,Master,Batteries,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.054882139573732655
Chemistry,Master,Fundamental Science,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03714653155071767
Chemistry,Master,Biomaterial,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.050167307019311824
Chemistry,Master,Bacteriology,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.055827733447299785
Chemistry,Master,Spectrometer,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.054882139573732655
Chemistry,Master,Manufacturing,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03969874509081843
Chemistry,Master,Automation,,97,Chemistry (Master 2022-2023) - Prospectus - Universiteit Leiden,Chemistry,0.03837049430029277
