topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Computational Science,Master,Computational Science and Engineering,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04620758045472284
Computational Science,Master,Instructional Design,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.0407492556030737
Computational Science,Master,Algorithms,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.035362246078944226
Computational Science,Master,Knowledge of Statistics,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.02572731046412973
Computational Science,Master,Knowledge of Mathematics,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03114218816684685
Computational Science,Master,Numerical Analysis,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.0393858565625173
Computational Science,Master,Information Technology,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.02965178586590934
Computational Science,Master,Linear Algebra,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04147712023939652
Computational Science,Master,Computer Programming,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.034376687926499665
Computational Science,Master,Data Science,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03300353842001693
Computational Science,Master,Equations,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04223965790401121
Computational Science,Master,Simulations,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03153752342700301
Computational Science,Master,Financial Engineering,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.0529513194652376
Computational Science,Master,Biology,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.028786155349552405
Computational Science,Master,Machine Learning,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03322437315646482
Computational Science,Master,Mechanical Engineering,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04223965790401121
Computational Science,Master,Ecology,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03587875101786979
Computational Science,Master,Computer Simulation,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.039062405873611886
Computational Science,Master,Desktop Virtualization,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04620758045472284
Computational Science,Master,Robotics Design and Production,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.0407492556030737
Computational Science,Master,Knowledge of Electrical Engineering,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.041109051970599
Computational Science,Master,Applied Mathematics,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04345621237727225
Computational Science,Master,Physics,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.033448296590627744
Computational Science,Master,Intelligent Systems,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04834545337720225
Computational Science,Master,Python (Programming Language),,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03587875101786979
Computational Science,Master,MATLAB,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04571491805863434
Computational Science,Master,Communication Studies,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.051494837229013934
Computational Science,Master,Fluid Dynamics,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.05220652170776336
Computational Science,Master,Quantum,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.039062405873611886
Computational Science,Master,Data Analysis,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.02947487506525919
Computational Science,Master,Monte Carlo Methods,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.047783632063396815
Computational Science,Master,Signal Processing,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04263499316416736
Computational Science,Master,Forecasting Skills,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03783023924450016
Computational Science,Master,Interpolation,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04571491805863434
Computational Science,Master,Mathematical Modeling,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.043883178068308354
Computational Science,Master,Ordinary Differential Equations (Differential Calculus),,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.054553682114436605
Computational Science,Master,Probability and Statistics,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04671588551405497
Computational Science,Master,Programming Languages,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03641247592571134
Computational Science,Master,Stochastic Process,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.05015987561077624
Computational Science,Master,Thermodynamics,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.054553682114436605
Computational Science,Master,Calculations,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03587875101786979
Computational Science,Master,Differential Equations,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04620758045472284
Computational Science,Master,Partial Differential Equation,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.054553682114436605
Computational Science,Master,Program Evaluations,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04724085925220271
Computational Science,Master,Entrepreneurship,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.034617448321469985
Computational Science,Master,Deep Learning,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04147712023939652
Computational Science,Master,Scientific Computating,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.05633443395798515
Computational Science,Master,Big Data,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03587875101786979
Computational Science,Master,Molecular Biology,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04345621237727225
Computational Science,Master,Knowledge of Engineering,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.038745360571691784
Computational Science,Master,Fluid Mechanics,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.047783632063396815
Computational Science,Master,Execution of Experiments,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.02965178586590934
Computational Science,Master,Computer Security,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.0529513194652376
Computational Science,Master,Data Structures,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04724085925220271
Computational Science,Master,Java (Programming Language),,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04834545337720225
Computational Science,Master,Computer Vision,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.05081344654275819
Computational Science,Master,Image Processing,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03971597680559383
Computational Science,Master,Architecture,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.030566907193100953
Computational Science,Master,Infrastructure Management,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03614338951503835
Computational Science,Master,Multiprocessing,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.05833832898936707
Computational Science,Master,Concurrency,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.06840251992905157
Computational Science,Master,Computer Architecture,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.05220652170776336
Computational Science,Master,Artificial Neural Networks,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.04147712023939652
Computational Science,Master,Algebra,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.05015987561077624
Computational Science,Master,Knowledge of Finance,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.030379650502232167
Computational Science,Master,Data Collection,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.03094812197794266
Computational Science,Master,Chemical Engineering,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.059442923114366615
Computational Science,Master,Systems Engineering,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.049531941617108506
Computational Science,Master,Dispersion (Optics),,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.059442923114366615
Computational Science,Master,Finite Element Methods,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.0529513194652376
Computational Science,Master,Molecular Modelling,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.06840251992905157
Computational Science,Master,Microsoft Basic Data Partition,,154,Master Cycle - Computational science and Engineering - EPFL,Computational Science,0.057305050191887204
