topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Digital Humanities,Master,Instructional Design,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.04045197989962758
Digital Humanities,Master,Information Technology,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.02943546889591156
Digital Humanities,Master,Data Science,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.03276276960216197
Digital Humanities,Master,Algorithms,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.03510426991660766
Digital Humanities,Master,Machine Learning,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.03298199329564352
Digital Humanities,Master,Knowledge of Statistics,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.025539623494078085
Digital Humanities,Master,Knowledge of Electrical Engineering,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.04080915146538238
Digital Humanities,Master,Computer Programming,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.034125901649934474
Digital Humanities,Master,Biology,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.028576153364132037
Digital Humanities,Master,Python (Programming Language),,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.03561700682672434
Digital Humanities,Master,Linear Algebra,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.041174534586883256
Digital Humanities,Master,Deep Learning,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.041174534586883256
Digital Humanities,Master,Robotics Design and Production,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.04045197989962758
Digital Humanities,Master,Data Analysis,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.029259848702462257
Digital Humanities,Master,Ecology,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.03561700682672434
Digital Humanities,Master,Knowledge of Mathematics,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.03091499835056337
Digital Humanities,Master,Signal Processing,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.04232396054782326
Digital Humanities,Master,Computational Science and Engineering,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.045870484947555225
Digital Humanities,Master,Creating Prototypes,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.038462703768548746
Digital Humanities,Master,Computer Vision,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.05044275012531539
Digital Humanities,Master,Intelligent Systems,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.04799276156851936
Digital Humanities,Master,Probability and Statistics,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.04637508179818901
Digital Humanities,Master,Scheduling,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.036146838081907044
Digital Humanities,Master,Data Collection,,109,Master Cycle - Digital Humanities - EPFL,Digital Humanities,0.03072234792157842
