topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
History Ancient History,Master,Feedback Management,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.09947447778363218
History Ancient History,Master,Prehistory,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.11557330894843271
History Ancient History,Master,Knowledge of Socioeconomics,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.1224384792061047
History Ancient History,Master,Economy,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.048919979004970374
History Ancient History,Master,Empirical Research,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.08913722432266398
History Ancient History,Master,Administrative Operations,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.0677676684952069
History Ancient History,Master,Databases,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.06989449676926646
History Ancient History,Master,Blueprinting,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.13341172994375103
History Ancient History,Master,Multidisciplinary Approach,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.07358315904945849
History Ancient History,Master,Secondary Source,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.11557330894843271
History Ancient History,Master,Knowledge of Sociology,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.09568856806096145
History Ancient History,Master,Knowledge of the Maritime Sector,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.13093261543556367
History Ancient History,Master,Filing Skills,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.12643513972684073
History Ancient History,Master,Museums,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.08626105706666572
History Ancient History,Master,Governance,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.07358315904945849
History Ancient History,Master,Architecture,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.06860335518520434
History Ancient History,Master,Target Market Selection,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.10152834581320672
History Ancient History,Master,Judicial System,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.14550215588822948
History Ancient History,Master,Online Databases,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.13895081214993202
History Ancient History,Master,Qualitative Analysis,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.1224384792061047
History Ancient History,Master,Knowledge of Politics,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.10981173124460036
History Ancient History,Master,Business Analytics Applications,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.09226379613252333
History Ancient History,Master,Mentoring,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.07936585512478538
History Ancient History,Master,Water Resource Management,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.11404401823629799
History Ancient History,Master,Immigration,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.13093261543556367
History Ancient History,Master,Social Sciences,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.06945894103565144
History Ancient History,Master,Peer Review,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.09568856806096145
History Ancient History,Master,Transferable Skills Analysis,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.10602582152192964
History Ancient History,Master,Committee Work,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.15831852385738507
History Ancient History,Master,Scheduling,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.08172295624557292
History Ancient History,Master,Role-Playing,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.15831852385738507
History Ancient History,Master,Entrepreneurship,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.07769425567985751
History Ancient History,Master,Geography,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.08839631337127021
History Ancient History,Master,Paradigms,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.09568856806096145
History Ancient History,Master,Auditing Skills,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.12438127169726618
History Ancient History,Master,Assembly and Installation,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.11116785098029974
History Ancient History,Master,Catalogues,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.17040894980186352
History Ancient History,Master,Knowledge of Medicine,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.08424559941815499
History Ancient History,Master,International Relations,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.10152834581320672
History Ancient History,Master,International Sales,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.11116785098029974
History Ancient History,Master,Negotiation Skills,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.0855766000280054
History Ancient History,Master,Money Investments,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.10850493603011702
History Ancient History,Master,Trading,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.14550215588822948
History Ancient History,Master,Diversity Management,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.15831852385738507
History Ancient History,Master,Television,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.10981173124460036
History Ancient History,Master,Political Philosophy,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.12643513972684073
History Ancient History,Master,Voting Rights,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.15831852385738507
History Ancient History,Master,Raw Materials,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.08296214483980487
History Ancient History,Master,Digital Media,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.10602582152192964
History Ancient History,Master,Multidisciplinary Research,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.14550215588822948
History Ancient History,Master,Justice,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.07262489137883668
History Ancient History,Master,Leadership Styles,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.13341172994375103
History Ancient History,Master,Innovation,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.06101040494944882
History Ancient History,Master,Academic History,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.15831852385738507
History Ancient History,Master,Dissolution,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.14928806561090022
History Ancient History,Master,Construction,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.06695097633878967
History Ancient History,Master,Forecasting Skills,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.08490493733096634
History Ancient History,Master,Foods,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.14928806561090022
History Ancient History,Master,E-books,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.13093261543556367
History Ancient History,Master,Data Science,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.07407204969392472
History Ancient History,Master,Agriculture,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.14550215588822948
History Ancient History,Master,Civil Law,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.1224384792061047
History Ancient History,Master,Insurance Claim Processing,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.09066651503479868
History Ancient History,Master,Foreign Policies,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.11557330894843271
History Ancient History,Master,Relations with Labor Unions,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.15831852385738507
History Ancient History,Master,Knowledge of Laws,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.07609697458213284
History Ancient History,Master,Maintenance,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.10484758783300797
History Ancient History,Master,Nuclear Power,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.0876703713465931
History Ancient History,Master,Information Management,,15,History: Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.12438127169726618
History Ancient History,Master,Editing,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.09066651503479868
History Ancient History,Master,Cultural Activities,,15,History (Research): Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.11116785098029974
History Ancient History,Master,Prism (Software),,15,History: Ancient History (Master 2022-2023) - Prospectus - Universiteit Leiden,History Ancient History,0.15831852385738507
