topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
International Relations Culture Politics,Master,Economy,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.03844125114379621
International Relations Culture Politics,Master,International Relations,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.07978083226943186
International Relations Culture Politics,Master,Governance,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.057821543559672006
International Relations Culture Politics,Master,Knowledge of Finance,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.053578170924365565
International Relations Culture Politics,Master,Knowledge of Laws,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.05979689629256857
International Relations Culture Politics,Master,Infrastructure Management,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.06374321854296387
International Relations Culture Politics,Master,Transferable Skills Analysis,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.08331494239680079
International Relations Culture Politics,Master,Innovation,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.047941890956416405
International Relations Culture Politics,Master,Foreign Policies,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.09081734467536987
International Relations Culture Politics,Master,Corporate Social Responsibility,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.11433539077960207
International Relations Culture Politics,Master,International Financial Economics,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.11433539077960207
International Relations Culture Politics,Master,Secondary Source,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.09081734467536987
International Relations Culture Politics,Master,Justice,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.05706853816313227
International Relations Culture Politics,Master,Social Policy,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.12063607855352934
International Relations Culture Politics,Master,Economic Development,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.08846297915183787
International Relations Culture Politics,Master,Islam,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.08846297915183787
International Relations Culture Politics,Master,Cisco Nexus Switches,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.10106435469969241
International Relations Culture Politics,Master,Investment Banking,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.14833080173223884
International Relations Culture Politics,Master,Case Studies,,32,International Relations: Global Political Economy (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Culture Politics,0.05859518178792679
