topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Law the Sea,Master,Microsoft FrontPage,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.12323998988976807
Law the Sea,Master,Legal Research,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.11470640077261715
Law the Sea,Master,Knowledge of the Maritime Sector,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.10808723481337401
Law the Sea,Master,International Laws,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.09177106538835787
Law the Sea,Master,Knowledge of Laws,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.06281942457870017
Law the Sea,Master,Offshore Work,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.14067566060802558
Law the Sea,Master,Economy,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.04038432471684473
Law the Sea,Master,Contract Law,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.14067566060802558
Law the Sea,Master,European Union Laws,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.11728744217508923
Law the Sea,Master,Legal Knowledge,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.09955364569622309
Law the Sea,Master,International Sales,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.09177106538835787
Law the Sea,Master,Marine Insurance,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.16785583402316998
Law the Sea,Master,Competition Law,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.11728744217508923
Law the Sea,Master,Environmental Laws,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.11470640077261715
Law the Sea,Master,Climate Change,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.06746377388073675
Law the Sea,Master,Mobile Device Management,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.13069479599528375
Law the Sea,Master,Expediting,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.12011465315212433
Law the Sea,Master,Commercial Laws,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.13069479599528375
Law the Sea,Master,Foreign Direct Investments,,116,Maritime Law (master's 1 1/2-years) – University of Oslo,Law the Sea,0.12011465315212433
