topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Linguistics,Master,Linguistics,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.06540094888555849
Linguistics,Master,Academic Writing,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.04671230798083214
Linguistics,Master,Databases,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.044077803608005686
Linguistics,Master,Stock Control,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.0876270220434677
Linguistics,Master,Data Presentation,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.10333407798314169
Linguistics,Master,Encodings,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.0895987426305155
Linguistics,Master,Pragmatics,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.07973422108507058
Linguistics,Master,Decoding,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.10333407798314169
Linguistics,Master,Euclidean Geometry,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.05717733195388586
Linguistics,Master,Inflection,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.107465574109632
Linguistics,Master,Knowledge of Vocabularies,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.06842683590130257
Linguistics,Master,Word Formation,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.107465574109632
Linguistics,Master,Morphology,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.06925094460059013
Linguistics,Master,Lexicons,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.107465574109632
Linguistics,Master,Diagnostic Tests,,23,MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,0.107465574109632
