topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Public Health,Master,Public Health,,17,Public Health - master | UiT,Public Health,0.08706788660492204
Public Health,Master,Global Health,,17,Public Health - master | UiT,Public Health,0.11108487236392288
Public Health,Master,Health Promotion,,17,Public Health - master | UiT,Public Health,0.13010017839839783
Public Health,Master,Financial Stocks,,17,Public Health - master | UiT,Public Health,0.09996163139401831
Public Health,Master,Healthcare Systems,,17,Public Health - master | UiT,Public Health,0.12086963872241151
Public Health,Master,Knowledge of Finance,,17,Public Health - master | UiT,Public Health,0.05205496074350591
Public Health,Master,Knowledge of Pedagogy,,17,Master&#39;s Programme in Public Health,Public Health,0.11397525770396741
Public Health,Master,Economy,,17,Public Health - master | UiT,Public Health,0.03734837872771705
Public Health,Master,Health Economics,,17,Public Health - master | UiT,Public Health,0.12509849867387196
Public Health,Master,Knowledge of Medicine,,17,Public Health - master | UiT,Public Health,0.06431802746467057
Public Health,Master,Public Relations,,17,Master&#39;s Programme in Public Health,Public Health,0.08487205197567237
Public Health,Master,Quantitative Research,,17,Public Health - master | UiT,Public Health,0.0737488110057678
Public Health,Master,Knowledge of Statistics,,17,Public Health - master | UiT,Public Health,0.044083263438065574
Public Health,Master,Biostatistics,,17,Public Health - master | UiT,Public Health,0.1362217396437765
Public Health,Master,Behavioural Science,,17,Master&#39;s Programme in Public Health,Public Health,0.11720643360930157
Public Health,Master,Content Management,,17,Master&#39;s Programme in Public Health,Public Health,0.08383671069958788
Public Health,Master,Data Stores,,17,Master&#39;s Programme in Public Health,Public Health,0.08706788660492204
Public Health,Master,Retention Period,,17,Master&#39;s Programme in Public Health,Public Health,0.08823543675239419
Public Health,Master,Health Education,,17,Master&#39;s Programme in Public Health,Public Health,0.1362217396437765
Public Health,Master,Health Risks,,17,Master&#39;s Programme in Public Health,Public Health,0.13010017839839783
Public Health,Master,JSON,,17,Master&#39;s Programme in Public Health,Public Health,0.08823543675239419
Public Health,Master,JQuery,,17,Master&#39;s Programme in Public Health,Public Health,0.08823543675239419
Public Health,Master,Knowledge of Laws,,17,Master&#39;s Programme in Public Health,Public Health,0.058096889748014656
Public Health,Master,Multidisciplinary Approach,,17,Master&#39;s Programme in Public Health,Public Health,0.05617769565849143
Public Health,Master,Public Services,,17,Master&#39;s Programme in Public Health,Public Health,0.09206956632944792
Public Health,Master,Shared Vision Planning,,17,Master&#39;s Programme in Public Health,Public Health,0.1362217396437765
Public Health,Master,Social Sciences,,17,Master&#39;s Programme in Public Health,Public Health,0.05302902594381946
