topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Renewable Energy Systems,Master,Renewable Energy,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.09196447620208235
Renewable Energy Systems,Master,Photovoltaics,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.09196447620208235
Renewable Energy Systems,Master,Energy Conservation,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.10695907441324042
Renewable Energy Systems,Master,Energy Production,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.09851455462356005
Renewable Energy Systems,Master,Electrical Installations,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.09196447620208235
Renewable Energy Systems,Master,Energy Technology,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.08970538848983929
Renewable Energy Systems,Master,Systems Analysis,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.10506463304503776
Renewable Energy Systems,Master,Wind Power,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.11886095658567981
Renewable Energy Systems,Master,Physics,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.061325014034686404
Renewable Energy Systems,Master,Economy,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.03996281336991883
Renewable Energy Systems,Master,Fuel Cell,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.11606325462025577
Renewable Energy Systems,Master,Python (Programming Language),,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.06578107509171038
Renewable Energy Systems,Master,Subsystems,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.1457574369692773
Renewable Energy Systems,Master,Batteries,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.1032850789202093
Renewable Energy Systems,Master,Sustainability,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.06346856852357682
Renewable Energy Systems,Master,Energy Market,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.10898426723687764
Renewable Energy Systems,Master,Knowledge of Mathematics,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.05709693231247701
Renewable Energy Systems,Master,Natural Sciences,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.08293867695808953
Renewable Energy Systems,Master,Climate Change,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.06675962081153088
Renewable Energy Systems,Master,Smartgrid,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.12195367262439848
Renewable Energy Systems,Master,Data Processing,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.06626627048900088
Renewable Energy Systems,Master,Field Research,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.06483410092987907
Renewable Energy Systems,Master,MATLAB,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.08381497048569658
Renewable Energy Systems,Master,Project Management,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.06391672460590778
Renewable Energy Systems,Master,Microsoft Office,,255,Renewable Energy Systems (master's 2-years) – University of Oslo,Renewable Energy Systems,0.16610383893139705
