topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Robotics,Master,Content Management,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04314738723861225
Robotics,Master,Data Stores,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04481034367929489
Robotics,Master,Retention Period,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.045411234839182996
Robotics,Master,JSON,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.045411234839182996
Robotics,Master,JQuery,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.045411234839182996
Robotics,Master,Typing Skills,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04314738723861225
Robotics,Master,Data Protection,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.03989266723006494
Robotics,Master,Economy,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.019221710229944382
Robotics,Master,Knowledge of Mathematics,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.02746304865400948
Robotics,Master,Control Systems,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04119686869509812
Robotics,Master,Linear Algebra,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.03657701138596905
Robotics,Master,Artificial Intelligence,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.026627372154870512
Robotics,Master,Algorithms,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.031184548734278318
Robotics,Master,Differential Equations,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04074861481837219
Robotics,Master,Electronics,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.034447571484129504
Robotics,Master,Computer Programming,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.030315424466358223
Robotics,Master,Robotics Design and Production,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.035935136710568215
Robotics,Master,Knowledge of Electrical Engineering,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.03625242671902698
Robotics,Master,Laboratory Techniques,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.042138471619003866
Robotics,Master,Knowledge of Statistics,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.022687884847005606
Robotics,Master,Project Planning,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.038322293489527544
Robotics,Master,Research and Development,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.042138471619003866
Robotics,Master,Data Structures,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04165982201217354
Robotics,Master,MATLAB,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04031415557994967
Robotics,Master,Numerical Analysis,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.03473280969407773
Robotics,Master,Sensors,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04074861481837219
Robotics,Master,Simulations,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.027811678988722832
Robotics,Master,Mechanical Systems,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.05242033350001699
Robotics,Master,Academic Writing,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.02910449890442515
Robotics,Master,Risk Analysis,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.034447571484129504
Robotics,Master,Java (Programming Language),,96,Master&#39;s Programme in Robotics and Control,Robotics,0.042633919337488974
Robotics,Master,Architecture,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.02695573140041557
Robotics,Master,Artificial Neural Networks,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.03657701138596905
Robotics,Master,Cognition Processing,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.04314738723861225
Robotics,Master,Genetic Algorithm,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.05865848670274561
Robotics,Master,Scalability,,96,Master&#39;s Programme in Robotics and Control,Robotics,0.05242033350001699
