topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Sustainable Management Technology,Master,Sustainable Management,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.10500504376825055
Sustainable Management Technology,Master,Instructional Design,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.060658541796475354
Sustainable Management Technology,Master,Sustainability,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.05153085387250171
Sustainable Management Technology,Master,Desktop Virtualization,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.06878369699875898
Sustainable Management Technology,Master,Scheduling,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.054202896719573714
Sustainable Management Technology,Master,Economy,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.03244626346558242
Sustainable Management Technology,Master,Knowledge of Finance,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.04522255124613768
Sustainable Management Technology,Master,Computer Programming,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.05117246267577661
Sustainable Management Technology,Master,Github,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.12519832549315957
Sustainable Management Technology,Master,Python (Programming Language),,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.05340840430122178
Sustainable Management Technology,Master,Machine Learning,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.04945714953431195
Sustainable Management Technology,Master,Probability and Statistics,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.06954034992972767
Sustainable Management Technology,Master,Knowledge of Statistics,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.0382971692121315
Sustainable Management Technology,Master,Data Science,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.049128419281631516
Sustainable Management Technology,Master,Entrepreneurship,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.05153085387250171
Sustainable Management Technology,Master,Governance,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.048804161688336185
Sustainable Management Technology,Master,Metrics,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.078822294479371
Sustainable Management Technology,Master,Venture Capital,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.10182264811207105
Sustainable Management Technology,Master,Ethical Codes,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.078822294479371
Sustainable Management Technology,Master,Business Model,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07373227575267222
Sustainable Management Technology,Master,Artificial Neural Networks,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.0617420268027937
Sustainable Management Technology,Master,Calibration,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.08848556821159452
Sustainable Management Technology,Master,Linear Algebra,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.0617420268027937
Sustainable Management Technology,Master,Linear Regression,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.06532363724499221
Sustainable Management Technology,Master,Moodle,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07373227575267222
Sustainable Management Technology,Master,Numerical Analysis,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.058629012754461966
Sustainable Management Technology,Master,Deep Learning,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.0617420268027937
Sustainable Management Technology,Master,Text Analysis,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.10182264811207105
Sustainable Management Technology,Master,Data Analysis,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.043875720295539655
Sustainable Management Technology,Master,Data Collection,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.046068766723185266
Sustainable Management Technology,Master,Information Technology,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.04413906623981932
Sustainable Management Technology,Master,Physics,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.049790477561765724
Sustainable Management Technology,Master,Climate Change,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.054202896719573714
Sustainable Management Technology,Master,Knowledge of Econometrics,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.11302404037423446
Sustainable Management Technology,Master,Innovation,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.04046526007156632
Sustainable Management Technology,Master,Risk Analysis,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.05814753040977374
Sustainable Management Technology,Master,Contract Management,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09025175130932823
Sustainable Management Technology,Master,Corporate Governance,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.11302404037423446
Sustainable Management Technology,Master,Environmental Laws,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.09215937437984753
Sustainable Management Technology,Master,Intellectual Property,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07665420361993618
Sustainable Management Technology,Master,Smart Contracts,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.12519832549315957
Sustainable Management Technology,Master,Legal Knowledge,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.07998508926092239
Sustainable Management Technology,Master,Business Development,,274,Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,0.078822294479371
