degree,clean,cluster
Astronomy  (master's 2-years) – University of Oslo,Astronomy,12
International Relations: Global Conflict in the Modern Era (Master 2022-2023) - Prospectus - Universiteit Leiden,International Relations Global Conflict the Modern Era,3
Gender and Sexuality in Society and Culture (Minor 2022-2023) - Prospectus - Universiteit Leiden,Gender Sexuality Society Culture,270
Honours College FSW (Honours Education 2022-2023) - Prospectus - Universiteit Leiden,College FSW,50
Master&#39;s Programme in Public Health,Public Health,17
Economie en Beleid (Minor 2022-2023) - Prospectus - Universiteit Leiden,Economie Beleid,91
Bachelor Cycle - Chemistry and Chemical Engineering - EPFL,Chemistry Chemical Engineering,11
French language and culture (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,French language culture,1
Materials Science for Energy and Nanotechnology (master's two years)  – University of Oslo,Materials Science for Energy Nanotechnology,193
Minor - Cyber security minor - EPFL,Cyber security,27
Master&#39;s Programme in Human Geography with specialisation in Geographical Information Systems (GIS),Human Geography with specialisation Geographical Information Systems,262
Astronomy and Education (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy Education,12
Latin American Studies (research) (Master 2022-2023) - Prospectus - Universiteit Leiden,Latin American Studies,61
Data Science and Artificial Intelligence (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Data Science Artificial Intelligence,33
Computer Science - master | UiT,Computer Science,2
Master&#39;s Programme in Mathematical Statistics,Mathematical Statistics,144
Minor - Minor in Engineering for sustainability - EPFL,Engineering for sustainability,8
Bachelor of Science Programme in Life Science,Science Life Science,47
Bachelor Cycle - Life Sciences Engineering - EPFL,Life Sciences Engineering,250
PhD programme in Nautical Operations | UiT,PhD programme Nautical Operations,161
University diploma for English trainers - Catalogue des formations,diploma for English trainers,164
"Minor - Minor in Integrated Design, Architecture and Sustainability - EPFL",Integrated Design Architecture Sustainability,263
Minor - Photonics minor - EPFL,Photonics,118
MA Linguistics: Pre-master Linguistics (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics Pre Linguistics,23
Law and Society (Master 2022-2023) - Prospectus - Universiteit Leiden,Law Society,268
Indigenous Studies - master | UiT,Indigenous Studies,258
European and International Human Rights Law (Advanced Master Programme) (Master 2022-2023) - Prospectus - Universiteit Leiden,European International Human Rights Law,93
Cultural Anthropology and Development Sociology (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Cultural Anthropology Development Sociology,207
"Law, Culture and Development (Minor 2022-2023) - Prospectus - Universiteit Leiden",Law Culture Development,222
Fiscaal Recht (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Fiscaal Recht,55
Archaeology: MSc Archaeological Science (Master 2022-2023) - Prospectus - Universiteit Leiden,Archaeology MSc Archaeological Science,114
Archaeology: MA Global Archaeology (Master 2022-2023) - Prospectus - Universiteit Leiden,Archaeology Global Archaeology,19
Medicine (Master 2022-2023) - Prospectus - Universiteit Leiden,Medicine,72
Theoretical Linguistics - master | UiT,Theoretical Linguistics,286
History (Master) (Master 2022-2023) - Prospectus - Universiteit Leiden,History,85
"Culture, Languages and Social Sciences at bachelor's level – University of Oslo",Culture Languages Social Sciences level,10
Informatics: Language and Communication (master's 2-years) – University of Oslo,Informatics Language Communication,74
Criminology (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Criminology,95
American Studies (Minor 2022-2023) - Prospectus - Universiteit Leiden,American Studies,220
MA Philosophy: Pre-master (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Philosophy Pre,166
Biology - master | UiT,Biology,6
Physics (master's 2-years) – University of Oslo,Physics,26
Art History (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Art History,30
German language and culture (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,German language culture,126
Bio-Pharmaceutical Sciences: Bio-Pharmaceutical Sciences and Business Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Bio Pharmaceutical Sciences Business Studies,168
Arts and Culture: Art History (Master 2022-2023) - Prospectus - Universiteit Leiden,Arts Culture Art History,30
Religion og Diversity: Conflict and Coexistence (master's 2-years) – University of Oslo,Religion Diversity Conflict Coexistence,69
Cultural Anthropology and Development Sociology (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Cultural Anthropology Development Sociology,207
Exchange Political Science (Exchange and Study Abroad Students 2022-2023) - Prospectus - Universiteit Leiden,Exchange Political Science,49
Master&#39;s Programme in Robotics and Control,Robotics Control,96
Middle Eastern Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Middle Eastern Studies,4
De middeleeuwen en vroegmoderne tijd (Minor 2022-2023) - Prospectus - Universiteit Leiden,middeleeuwen vroegmoderne tijd,103
University degree Solidarity gateway B2 objectives (PASS B2) - Catalogue des formations,degree Solidarity gateway objectives,106
Master Cycle - Computer Science - EPFL,Computer Science,2
Linguistics (research) (Master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics,23
MA Linguistics: Pre-master Translation (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics Pre Translation,210
Master&#39;s Programme in Spatial Planning and Sustainability,Spatial Planning Sustainability,283
Minor - Mechanical engineering minor - EPFL,Mechanical engineering,22
Honours College Governance and Global Affairs (Honours Education 2022-2023) - Prospectus - Universiteit Leiden,College Governance Global Affairs,174
MA North American Studies: Pre-master (Pre-master 2022-2023) - Prospectus - Universiteit Leiden,North American Studies Pre,80
Astronomy and Instrumentation (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy Instrumentation,12
Chinese Economy and Society (Minor 2022-2023) - Prospectus - Universiteit Leiden,Chinese Economy Society,169
Criminologie (Minor 2022-2023) - Prospectus - Universiteit Leiden,Criminologie,180
Computer Science: Bioinformatics (Master 2022-2023) - Prospectus - Universiteit Leiden,Computer Science Bioinformatics,2
Viking and Medieval Studies (master's two years) – University of Oslo,Viking Medieval Studies,121
Master Cycle - Sustainable Management and Technology - EPFL,Sustainable Management Technology,274
Master in Civil engineering - Catalogue des formations,Civil engineering,77
Chemistry (master's two years) – University of Oslo,Chemistry,97
Computer Science and Mathematics (double bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Computer Science Mathematics,2
Northern Studies - one year programme | UiT,Northern Studies one year programme,276
Master Cycle - Environmental Sciences and Engineering - EPFL,Environmental Sciences Engineering,131
ICT in Business and the Public Sector (Master 2022-2023) - Prospectus - Universiteit Leiden,ICT Business the Public Sector,231
European History (master's two years)  – University of Oslo,European History,78
Master in Biology - Catalogue des formations,Biology,6
Languages (LUC) (Modular 2022-2023) - Prospectus - Universiteit Leiden,Languages,264
Minor - Financial engineering minor - EPFL,Financial engineering,110
"Development, Environment & Cultural Change (master's 2-years) – University of Oslo",Development Environment Cultural Change,38
Landscape Architecture - master | UiT,Landscape Architecture,226
Minor - Data and Internet of Things minor - EPFL,Data Internet Things,148
Fiscaal Recht (master) (Master 2022-2023) - Prospectus - Universiteit Leiden,Fiscaal Recht,55
Master Cycle - Computational science and Engineering - EPFL,Computational science Engineering,154
Business Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Business Studies,201
Honours College Humanities Lab (Honours Education 2022-2023) - Prospectus - Universiteit Leiden,College Humanities Lab,269
Brain and Cognition (interdisciplinaire minor) (Minor 2022-2023) - Prospectus - Universiteit Leiden,Brain Cognition,100
Master&#39;s Programme in Transportation Design,Transportation Design,253
Honours College Beta and Life Science (Honours Education 2022-2023) - Prospectus - Universiteit Leiden,College Beta Life Science,198
North Sea Energy Law – University of Oslo,North Sea Energy Law,236
Crisis and Security Management (Master 2022-2023) - Prospectus - Universiteit Leiden,Crisis Security Management,167
Bachelor Cycle - Environmental Sciences and Engineering - EPFL,Environmental Sciences Engineering,131
Middle Eastern Studies: Modern Middle Eastern Studies (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Middle Eastern Studies Modern Middle Eastern Studies,4
Intensive or semi-intensive French language teaching - Catalogue des formations,Intensive semi intensive French language teaching,249
Master&#39;s Programme in Interaction Design,Interaction Design,92
Bachelor Cycle - Chemistry - EPFL,Chemistry,97
Intelligence Studies (Minor 2022-2023) - Prospectus - Universiteit Leiden,Intelligence Studies,152
English Acquisition and Multilingualism - master | UiT,English Acquisition Multilingualism,266
Cultural Memory of War and Conflict (Minor 2022-2023) - Prospectus - Universiteit Leiden,Cultural Memory War Conflict,142
Education and Child Studies: Applied neuroscience in human development (Master 2022-2023) - Prospectus - Universiteit Leiden,Education Child Studies Applied neuroscience human development,272
Master Cycle - Physics - master program - EPFL,Physics program,0
Law Studies,Law Studies,140
Master in Finance - Catalogue des formations,Finance,39
Global Public Health (LUC) (Major 2022-2023) - Prospectus - Universiteit Leiden,Global Public Health,17
Film and Literary studies (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Film Literary studies,194
Bachelor Cycle - Design Together ENAC - EPFL,Design Together ENAC,260
Master in Mathematics and applications - Catalogue des formations,Mathematics applications,44
Kunstmatige Intelligentie (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Kunstmatige Intelligentie,112
Archaeology: MA Heritage and Museum Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Archaeology Heritage Museum Studies,281
Master in Physics - Catalogue des formations,Physics,26
Master Cycle - Architecture - EPFL,Architecture,65
Impact Challenges (Honours Education 2022-2023) - Prospectus - Universiteit Leiden,Impact Challenges,89
Master Cycle - Data Science - EPFL,Data Science,14
"Bestuurskunde: Openbaar Bestuur, Beleid en Management (Minor 2022-2023) - Prospectus - Universiteit Leiden",Bestuurskunde Openbaar Bestuur Beleid Management,181
Master in Industrial engineering - Catalogue des formations,Industrial engineering,22
Bio-Pharmaceutical Sciences: Bio-Pharmaceutical Sciences and Science Communication and Society (Master 2022-2023) - Prospectus - Universiteit Leiden,Bio Pharmaceutical Sciences Bio Pharmaceutical Sciences Science Communication Society,229
"Culture, History &amp; Society (LUC) (Major 2022-2023) - Prospectus - Universiteit Leiden",Culture History amp Society,218
Linguistics: Translation (Master 2022-2023) - Prospectus - Universiteit Leiden,Linguistics Translation,210
Arts and Culture: Museum Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Arts Culture Museum Studies,189
Astronomy and Cosmology (Master 2022-2023) - Prospectus - Universiteit Leiden,Astronomy Cosmology,12
"Culture, Languages and Social Sciences at master's level – University of Oslo",Culture Languages Social Sciences level,10
Bachelor Cycle - Architecture - EPFL,Architecture,65
Astronomy (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Astronomy,12
"Biology: Molecular, Cellular and Organismal Biology (Master 2022-2023) - Prospectus - Universiteit Leiden",Biology Molecular Cellular Organismal Biology,234
Dutch Studies (Master 2022-2023) - Prospectus - Universiteit Leiden,Dutch Studies,48
Education and Child Studies: Digital media in human development (Master 2022-2023) - Prospectus - Universiteit Leiden,Education Child Studies Digital media human development,275
Juvenile Law (Master 2022-2023) - Prospectus - Universiteit Leiden,Juvenile Law,165
Master of Philosophy in Visual Anthropology | UiT,Philosophy Visual Anthropology,209
Middle Eastern Studies: Arabic (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Middle Eastern Studies Arabic,4
