index,degree_topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,weight_y_ignore,source_ignore,tfidf,ans1,ans12,textrank
0,Law,Bachelor,Entrepreneurship,0.0,45.0,24.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0886525011190121," No, a Bachelor of Law degree does not typically teach entrepreneurship. However, some universities may offer courses related to entrepreneurship as part of their law degree program.", Maybe,0.05589648476803202
1,Law,Bachelor,International Business,1.0,45.0,22.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1751733524158256," No, a Bachelor of Law degree does not typically teach International Business.", Yes,0.08206590783805753
2,Law,Bachelor,Civil Law,1.0,45.0,3.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1397075925349704, Yes., Yes.,0.18278318887191392
3,Law,Bachelor,Criminal Codes,1.0,45.0,3.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431," No. A Bachelor of Law degree typically focuses on civil law, not criminal law.", Yes.,0.08896688895710744
4,Law,Bachelor,International Laws,1.0,45.0,3.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1268473189837665, Yes, Yes,0.16371718322379586
5,Law,Bachelor,Administrative Laws,1.0,45.0,3.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1660242436822016, Yes., Yes.,0.16371718322379586
6,Law,Bachelor,Constitutional Law,1.0,45.0,2.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1751733524158256, Yes, Yes,0.18278318887191392
7,Law,Bachelor,European Union Laws,1.0,45.0,2.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431, Yes. Bachelor Law degrees typically include courses on European Union laws., Maybe,0.16110395355157642
8,Law,Bachelor,Economy,0.0,45.0,2.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0558198087558812, No. A Bachelor of Laws (LLB) degree typically focuses on the study of law and does not include courses in economics., Maybe,0.05589648476803202
9,Law,Bachelor,Psychology,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0899141698941033, No, No.,0.05589648476803202
10,Law,Bachelor,Drones,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1522285455293189," No, a Bachelor of Law degree does not teach drones.", Maybe,0.05589648476803202
11,Law,Bachelor,Justice,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0828681375204888," No. A Bachelor of Laws (LLB) degree typically focuses on the study of legal theory and practice, rather than justice.", Yes.,0.05589648476803202
12,Law,Bachelor,Public Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1419244026709268, Yes., Yes,0.18278318887191392
13,Law,Bachelor,Competition Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431, Yes, Yes,0.18278318887191392
14,Law,Bachelor,Tax Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.186968605050617, Yes, Yes.,0.16371718322379586
15,Law,Bachelor,Continuing Legal Education,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.2035930799230664, No. Bachelor Law degrees do not typically teach Continuing Legal Education (CLE). CLE courses are typically offered by law schools or other organizations that specialize in providing legal education., Yes,0.09864716271616619
16,Law,Bachelor,Databases,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0797526393531896, No. Bachelor Law degrees typically do not teach databases., Maybe,0.05589648476803202
17,Law,Bachelor,Knowledge of Labour Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.2035930799230664, Yes, Yes.,
18,Law,Bachelor,Property Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes, Yes.,0.16371718322379586
19,Law,Bachelor,Private Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.186968605050617, Yes., Yes,0.18278318887191392
20,Law,Bachelor,Webcast,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.2153883325578578," No, a Bachelor of Law degree does not typically teach webcasting.", No.,0.05589648476803202
21,Law,Bachelor,Civil Procedure Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.2035930799230664, Yes, Yes,0.1821768479005641
22,Law,Bachelor,Criminal Procedure,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes, Yes.,0.09328435058994324
23,Law,Bachelor,Common Law,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes., Yes.,0.18278318887191392
24,Law,Bachelor,Environmental Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1585488775433762, Yes, Yes,0.16371718322379586
25,Law,Bachelor,Knowledge of Laws,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0868299344045964, Yes, Yes.,
26,Law,Bachelor,Legal Knowledge,1.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1376045161749609, Yes, Yes,0.08703904143540833
27,Law,Master,E-books,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1493997688097522," No, master law degrees typically do not teach e-books. Most law schools offer traditional textbooks and other printed materials for their courses.", No.,
28,Law,Master,Negotiation Skills,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.0976465964357111, Yes, Yes,0.08896688895710744
29,Law,Master,Contract Law,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes, Yes,0.18278318887191392
30,Law,Master,Family Law,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1944439711894424, Yes, Yes,0.18278318887191392
31,Law,Master,Academic Writing,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.084519407656551, Yes, Yes.,0.08896688895710744
32,Law,Master,Legal Lawsuits,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1703441301781676," No. A Master of Laws (LLM) degree typically focuses on a specific area of law, such as international law, tax law, or corporate law. It does not typically cover legal lawsuits.", Yes.,0.08896688895710744
33,Law,Master,Conflict Resolution,0.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1123812898246948, Yes. Many master's degree programs in law offer courses in conflict resolution., Yes,0.08896688895710744
34,Law,Master,Legal Research,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1585488775433762, Yes, Yes.,0.08703904143540833
35,Law,Master,Legal Systems,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431, Yes, Yes,0.08703904143540833
36,Law,Master,Insurance Law,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.2153883325578578, Yes, Yes,0.18278318887191392
37,Law,Master,Copyright Law,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431, Yes, Yes,0.18278318887191392
38,Law,Master,Knowledge of Patents,1.0,45.0,1.0,Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,0.186968605050617, Yes, Yes.,
0,Architecture,Master,Architecture,1.0,65.0,110.0,Master Cycle - Architecture - EPFL,0.0388633760925617, Yes, Yes.,0.045238412133457286
1,Architecture,Master,Construction,1.0,65.0,32.0,Master Cycle - Architecture - EPFL,0.037927313703452," No, a Master's degree in Architecture does not typically teach Construction. However, some programs may offer courses related to Construction as part of their curriculum.", Maybe,0.045238412133457286
2,Architecture,Master,Instructional Design,0.0,65.0,30.0,Master Cycle - Architecture - EPFL,0.0518094171579, No, Maybe,0.11019292403336775
3,Architecture,Master,Sustainability,1.0,65.0,30.0,Master Cycle - Architecture - EPFL,0.044013314954735, Yes, Yes.,0.045238412133457286
4,Architecture,Master,Urban Planning,1.0,65.0,24.0,Master Cycle - Architecture - EPFL,0.0552510960466863," No, a Master's degree in Architecture does not typically teach Urban Planning. Urban Planning is typically taught in a Master's degree program in Urban Planning or a related field.", Yes,0.07200327260981183
5,Architecture,Master,Integrated Design,0.0,65.0,20.0,Master Cycle - Architecture - EPFL,0.0770854440996097," No, a Master of Architecture degree does not typically teach Integrated Design.", Yes.,0.11019292403336775
6,Architecture,Master,Drawing Skills,1.0,65.0,10.0,Master Cycle - Architecture - EPFL,0.0552510960466863, No, Maybe,0.0909775786546142
7,Architecture,Master,Metabolism,0.0,65.0,8.0,Master Cycle - Architecture - EPFL,0.0683165261346884, No, No.,0.045238412133457286
8,Architecture,Master,Knowledge of Civil Engineering,1.0,65.0,8.0,Master Cycle - Architecture - EPFL,0.0673233647740253, No, Maybe,
9,Architecture,Master,Manufacturing,0.0,65.0,8.0,Master Cycle - Architecture - EPFL,0.0518094171579," No, a Master's degree in Architecture does not typically teach Manufacturing.", No.,0.045238412133457286
10,Architecture,Master,Assembly and Installation,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0629758995079153," No, a Master Architecture degree does not typically teach Assembly and Installation.", No.,
11,Architecture,Master,Economy,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0277128653165409," No, a Master's degree in Architecture does not typically teach Economy.", Maybe,0.045238412133457286
12,Architecture,Master,Design Elements and Principles,1.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.059395509554187, Yes, Yes.,
13,Architecture,Master,Simulations,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0400974369512997," No, a Master's degree in Architecture does not typically teach simulations.", Maybe,0.045238412133457286
14,Architecture,Master,Digital Image,1.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0741725162379886," No, a Master's degree in Architecture does not typically teach Digital Image.", Maybe,0.0644488563338792
15,Architecture,Master,Ecology,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0456169603856281, No, Maybe,0.045238412133457286
16,Architecture,Master,Infrastructure Management,0.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0459534270545998," No, a Master's degree in Architecture does not typically teach Infrastructure Management.", Yes.,0.07200327260981183
17,Architecture,Master,Creating Prototypes,1.0,65.0,6.0,Master Cycle - Architecture - EPFL,0.0492616250059943," No, a Master's degree in Architecture does not typically teach students how to create prototypes.", Maybe,
