topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,source_ignore,degree_topic,tfidf
Physics program,Master,Physics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.04696654942829219
Physics program,Master,Applied Physics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07660175460896139
Physics program,Master,Instructional Design,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.057218218041756336
Physics program,Master,Quantum,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.054849621752190166
Physics program,Master,Optics and Eyewear,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.0557673357947769
Physics program,Master,Execution of Experiments,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.04163566484574245
Physics program,Master,Nuclear Power,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.054849621752190166
Physics program,Master,Particle Physics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06870202361648321
Physics program,Master,Knowledge of Statistics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.036125098188382526
Physics program,Master,Solid State Physics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08888853383461894
Physics program,Master,Semiconductors,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07910220389949357
Physics program,Master,Knowledge of Mathematics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.04372841875162105
Physics program,Master,Biology,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.04042018655305989
Physics program,Master,Simulations,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.044283530220050014
Physics program,Master,Nuclear Engineering,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07660175460896139
Physics program,Master,Algorithms,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.04965402868460381
Physics program,Master,Knowledge of Electrical Engineering,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05772342744259117
Physics program,Master,Measurement and Metrology,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.054849621752190166
Physics program,Master,Quantum Computing,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08888853383461894
Physics program,Master,Spectroscopy,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07230666624428403
Physics program,Master,Scientific Literature,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.045734412467029445
Physics program,Master,Information Theory,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.0743517911657784
Physics program,Master,Condensed Matter,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09103118980809166
Physics program,Master,Industrial Lasers,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08513301230343086
Physics program,Master,Electromagnetism,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06709556377820719
Physics program,Master,Computer Simulation,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.054849621752190166
Physics program,Master,Python (Programming Language),,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05037928100584762
Physics program,Master,Imaging,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05396790591140309
Physics program,Master,Electronics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.054849621752190166
Physics program,Master,Photovoltaics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07043217494820404
Physics program,Master,Equations,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05931097194763493
Physics program,Master,Plasma (Physics),,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09103118980809166
Physics program,Master,Polymer Chemistry,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07230666624428403
Physics program,Master,Biological Systems,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06709556377820719
Physics program,Master,Machine Learning,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.04665212650961618
Physics program,Master,Microscopy,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06709556377820719
Physics program,Master,Electron Microscope,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08693244218680467
Physics program,Master,Radiology,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07544863661207778
Physics program,Master,Auger Drill,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09339978609765782
Physics program,Master,Health Physics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06955045910741697
Physics program,Master,Data Analysis,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.041387254890376826
Physics program,Master,Signal Processing,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05986608341606389
Physics program,Master,Linear Algebra,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.058240251864206366
Physics program,Master,Drawing Skills,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06101920141294751
Physics program,Master,Electronic Oscillator,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08693244218680467
Physics program,Master,Fault Detection and Isolation,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08693244218680467
Physics program,Master,Astrophysics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09904955364695302
Physics program,Master,Medical Equipment,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07910220389949357
Physics program,Master,Mechanical Engineering,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05931097194763493
Physics program,Master,Computational Physics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09103118980809166
Physics program,Master,MATLAB,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06419077135344432
Physics program,Master,Monte Carlo Methods,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06709556377820719
Physics program,Master,Desktop Virtualization,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06488254507993761
Physics program,Master,Transmission Electron Microscopy,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10251499538281854
Physics program,Master,Manufacturing,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.057218218041756336
Physics program,Master,Biochemistry,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06955045910741697
Physics program,Master,Knowledge of Medicine,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.052706965778717446
Physics program,Master,Diagnostic Skills,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07230666624428403
Physics program,Master,Optical Fiber Cabling,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09339978609765782
Physics program,Master,Probability Theories,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06955045910741697
Physics program,Master,Moodle,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06955045910741697
Physics program,Master,Instrumentation,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05772342744259117
Physics program,Master,Integrated Circuits,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08191598052293093
Physics program,Master,Calculations,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05037928100584762
Physics program,Master,Laser Diode,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10251499538281854
Physics program,Master,Semiconductor Device,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09604765147196538
Physics program,Master,Quantum Dots,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09604765147196538
Physics program,Master,Electric Power Distribution,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07660175460896139
Physics program,Master,Data Processing,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05075087413090317
Physics program,Master,Numerical Analysis,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.055303796233898986
Physics program,Master,Information Technology,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.04163566484574245
Physics program,Master,Gene Expression,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07544863661207778
Physics program,Master,Population Genetics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08513301230343086
Physics program,Master,Systems Biology,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08346700045093913
Physics program,Master,Paradigms,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05986608341606389
Physics program,Master,Programming Languages,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.051128712810164824
Physics program,Master,Computational Science and Engineering,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06488254507993761
Physics program,Master,Ordinary Differential Equations (Differential Calculus),,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07660175460896139
Physics program,Master,Thermostat,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10661374300410555
Physics program,Master,Distribution Function,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09103118980809166
Physics program,Master,Raw Materials,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.051903992127786784
Physics program,Master,Crystallography,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09904955364695302
Physics program,Master,Atomic Force Microscopy,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09103118980809166
Physics program,Master,Scanning Electron Microscope,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09904955364695302
Physics program,Master,Data Storage Technologies,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08346700045093913
Physics program,Master,Leadership in Energy and Environmental Design (LEED),,0,Master Cycle - Physics - master program - EPFL,Physics program,0.11809754857883242
Physics program,Master,Medical Imaging,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07230666624428403
Physics program,Master,X-Ray Computed Tomography,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08346700045093913
Physics program,Master,Contrast Medium,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09604765147196538
Physics program,Master,Medical Ultrasonography,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09604765147196538
Physics program,Master,Functional Magnetic Resonance Imaging,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08513301230343086
Physics program,Master,Positron Emission Tomography,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09904955364695302
Physics program,Master,Single-Photon Emission Computed Tomography,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09604765147196538
Physics program,Master,Ultrasounds,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08346700045093913
Physics program,Master,Astronomy,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10251499538281854
Physics program,Master,Sciences,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.0804650982759515
Physics program,Master,Synchrotron,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.11163020466797927
Physics program,Master,Amplifiers,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08888853383461894
Physics program,Master,Laser Printing,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10661374300410555
Physics program,Master,Optoelectronics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10251499538281854
Physics program,Master,Laser Systems,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10251499538281854
Physics program,Master,Training Data,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10661374300410555
Physics program,Master,Artificial Neural Networks,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.058240251864206366
Physics program,Master,Molecular Biology,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06101920141294751
Physics program,Master,Computer Programming,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.048270153557934015
Physics program,Master,Generalized Linear Model,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07910220389949357
Physics program,Master,Genomics,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06870202361648321
Physics program,Master,Geography,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.055303796233898986
Physics program,Master,Linear Regression,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.061618726867940364
Physics program,Master,Logistic Regression,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06286798559105151
Physics program,Master,Ordinary Least Squares (Regression Analysis),,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07544863661207778
Physics program,Master,Principal Component Analysis,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07781723290164394
Physics program,Master,Recommender Systems,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07134988899079078
Physics program,Master,Support Vector Machine,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07230666624428403
Physics program,Master,Transfer Learning,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08888853383461894
Physics program,Master,Deep Learning,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.058240251864206366
Physics program,Master,Pooling,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10661374300410555
Physics program,Master,Convolutional Neural Networks,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08693244218680467
Physics program,Master,Interpolation,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06419077135344432
Physics program,Master,Unsupervised Learning,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05931097194763493
Physics program,Master,Analysis of Variance (ANOVA),,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06955045910741697
Physics program,Master,Design of Experiments,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.05772342744259117
Physics program,Master,Model Building,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.11163020466797927
Physics program,Master,Construction,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.041886850388767646
Physics program,Master,Interactive Learning,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10251499538281854
Physics program,Master,Differential Equations,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06488254507993761
Physics program,Master,Dynamical Systems,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.06419077135344432
Physics program,Master,Fractals,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10661374300410555
Physics program,Master,Dispersion (Optics),,0,Master Cycle - Physics - master program - EPFL,Physics program,0.08346700045093913
Physics program,Master,Irradiation,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.10251499538281854
Physics program,Master,Electrical Installations,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.07043217494820404
Physics program,Master,Radio Frequency,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.09103118980809166
Physics program,Master,Biomedical Waste,,0,Master Cycle - Physics - master program - EPFL,Physics program,0.11163020466797927
