,index,degree_topic,degree_level,related_skill,is_degree_related_to_skill,cluster_ignore,weight_y_ignore,source_ignore,tfidf,ans1,ans12,textrank,ans1clean,ans12clean,weight_new,weight_new0,weight_new1,weight_new2,weight_new3,weight_new4
0,0,Law,Bachelor,Entrepreneurship,0.0,45.0,24.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0886525011190121," No, a Bachelor of Law degree does not typically teach entrepreneurship. However, some universities may offer courses related to entrepreneurship as part of their law degree program.", Maybe,0.055896484768032,no,maybe,12.0,1.0,0.5,0.5,1.0,0.5
1,1,Law,Bachelor,International Business,1.0,45.0,22.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1751733524158256," No, a Bachelor of Law degree does not typically teach International Business.", Yes,0.0820659078380575,no,yes,44.0,1.0,1.0,1.0,1.0,1.0
2,2,Law,Bachelor,Civil Law,1.0,45.0,3.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1397075925349704, Yes., Yes.,0.1827831888719139,yes,yes,12.0,6.0,6.0,12.0,12.0,12.0
3,3,Law,Bachelor,Criminal Codes,1.0,45.0,3.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431," No. A Bachelor of Law degree typically focuses on civil law, not criminal law.", Yes.,0.0889668889571074,no,yes,6.0,1.0,1.0,1.0,1.0,1.0
4,4,Law,Bachelor,International Laws,1.0,45.0,3.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1268473189837665, Yes, Yes,0.1637171832237958,yes,yes,12.0,6.0,6.0,12.0,12.0,12.0
5,5,Law,Bachelor,Administrative Laws,1.0,45.0,3.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1660242436822016, Yes., Yes.,0.1637171832237958,yes,yes,12.0,6.0,6.0,12.0,12.0,12.0
6,6,Law,Bachelor,Constitutional Law,1.0,45.0,2.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1751733524158256, Yes, Yes,0.1827831888719139,yes,yes,8.0,4.0,4.0,8.0,8.0,8.0
7,7,Law,Bachelor,European Union Laws,1.0,45.0,2.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.1621164310059431, Yes. Bachelor Law degrees typically include courses on European Union laws., Maybe,0.1611039535515764,yes,maybe,4.0,4.0,4.0,8.0,8.0,8.0
8,8,Law,Bachelor,Economy,0.0,45.0,2.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0558198087558812, No. A Bachelor of Laws (LLB) degree typically focuses on the study of law and does not include courses in economics., Maybe,0.055896484768032,no,maybe,1.0,1.0,0.5,0.5,1.0,0.5
9,9,Law,Bachelor,Psychology,0.0,45.0,1.0,Law (bachelor) (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,0.0899141698941033, No, No.,0.055896484768032,no,no,1.0,1.0,0.5,0.5,1.0,0.5
